text,label,tokens,num_tokens,unique_tokens,lexical_density,clean_text,tokens_clean,num_tokens_clean,unique_tokens_clean,lexical_density_clean
How did serfdom develop in and then leave Russia ?,0,"['how', 'did', 'serfdom', 'develop', 'in', 'and', 'then', 'leave', 'russia']",9,9,1.0,serfdom develop leave russia,"['serfdom', 'develop', 'leave', 'russia']",4,4,1.0
What films featured the character Popeye Doyle ?,1,"['what', 'films', 'featured', 'the', 'character', 'popeye', 'doyle']",7,7,1.0,film feature character popeye doyle,"['film', 'feature', 'character', 'popeye', 'doyle']",5,5,1.0
How can I find a list of celebrities ' real names ?,0,"['how', 'can', 'i', 'find', 'a', 'list', 'of', 'celebrities', 'real', 'names']",10,10,1.0,find list celebrity real name,"['find', 'list', 'celebrity', 'real', 'name']",5,5,1.0
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,1,"['what', 'fowl', 'grabs', 'the', 'spotlight', 'after', 'the', 'chinese', 'year', 'of', 'the', 'monkey']",12,10,0.8333333333333334,fowl grabs spotlight chinese year monkey,"['fowl', 'grabs', 'spotlight', 'chinese', 'year', 'monkey']",6,6,1.0
What is the full form of .com ?,2,"['what', 'is', 'the', 'full', 'form', 'of', 'com']",7,7,1.0,form com,"['form', 'com']",2,2,1.0
What contemptible scoundrel stole the cork from my lunch ?,3,"['what', 'contemptible', 'scoundrel', 'stole', 'the', 'cork', 'from', 'my', 'lunch']",9,9,1.0,contemptible scoundrel steal cork lunch,"['contemptible', 'scoundrel', 'steal', 'cork', 'lunch']",5,5,1.0
What team did baseball 's St. Louis Browns become ?,3,"['what', 'team', 'did', 'baseball', 's', 'st', 'louis', 'browns', 'become']",9,9,1.0,team baseball louis brown,"['team', 'baseball', 'louis', 'brown']",4,4,1.0
What is the oldest profession ?,3,"['what', 'is', 'the', 'oldest', 'profession']",5,5,1.0,old profession,"['old', 'profession']",2,2,1.0
What are liver enzymes ?,0,"['what', 'are', 'liver', 'enzymes']",4,4,1.0,liver enzyme,"['liver', 'enzyme']",2,2,1.0
Name the scar-faced bounty hunter of The Old West .,3,"['name', 'the', 'scar', 'faced', 'bounty', 'hunter', 'of', 'the', 'old', 'west']",10,9,0.9,scarface bounty hunter old west,"['scarface', 'bounty', 'hunter', 'old', 'west']",5,5,1.0
