Label,Message,Word_count,Message_clean,Word_count_clean
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,crazy available bugis great world buffet cine get amore wat,10
ham,Ok lar... Joking wif u oni...,6,lar joke wif oni,4
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,28,free entry wkly comp win cup final tkts text receive entry questionstd txt ratetcs apply,15
ham,U dun say so early hor... U c already then say...,11,early hor,2
ham,"Nah I don't think he goes to usf, he lives around here though",13,nah think go usf life,5
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",32,freemsg hey darling week word like fun send,8
ham,Even my brother is not like to speak with me. They treat me like aids patent.,16,brother like speak treat like aids patent,7
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,request oru minnaminunginte set callertune caller press copy friend callertune,10
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,26,winner value network customer select receivea prize reward claim claim code valid hour,13
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,mobile month entitle update late colour mobile camera free mobile update free,12
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",21,home soon want talk stuff anymore tonight cry today,9
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",26,chance win cash pound txt send cost tsandcs apply reply info,11
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",26,urgent week free membership prize jackpot txt word claim lccltd pobox,11
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,37,search right word thank breather promise help grant fulfil promise wonderful blessing time,13
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,8,date sunday,2
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",19,xxmobilemovieclub use credit click wap link txt message click xxmobilemovieclubcomnqjkgighjjgcbl,10
ham,Oh k...i'm watching here:),4,watch,1
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,remember spell yes naughty wet,5
ham,Fine if thats the way u feel. Thats the way its gota b,13,fine thats way feel thats way gota,7
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",24,england macedonia miss goalsteam news txt national team england trywale,10
ham,Is that seriously how you spell his name?,8,seriously spell,2
ham,I‘m going to try for 2 months ha ha only joking,11,i‘m go try month joke,5
ham,So ü pay first lar... Then when is da stock comin...,11,pay lar stock comin,4
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,aft finish lor ard smth lor finish lunch,8
ham,Ffffffffff. Alright no way I can meet up with you sooner?,11,alright way meet soon,4
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28,force eat slice hungry tho suck mark get worry know sick turn pizza lol,14
